scientific_name,dutch_name
Turdus merula,Merel
Erithacus rubecula,Roodborst
Parus major,Koolmees
Cyanistes caeruleus,Pimpelmees
Passer domesticus,Huismus
Passer montanus,Ringmus
Fringilla coelebs,Vink
Chloris chloris,Groenling
Carduelis carduelis,Putter
Spinus spinus,Sijs
Linaria cannabina,Kneu
Pyrrhula pyrrhula,Goudvink
Troglodytes troglodytes,Winterkoning
Prunella modularis,Heggenmus
Sitta europaea,Boomklever
Certhia brachydactyla,Boomkruiper
Garrulus glandarius,Gaai
Pica pica,Ekster
Corvus corone,Zwarte Kraai
Corvus monedula,Kauw
Columba palumbus,Houtduif
Streptopelia decaocto,Turkse Tortel
Sturnus vulgaris,Spreeuw
Phylloscopus collybita,Tjiftjaf
Phylloscopus trochilus,Fitis
Sylvia atricapilla,Zwartkop
Acrocephalus scirpaceus,Kleine Karekiet
Acrocephalus schoenobaenus,Rietzanger
Hirundo rustica,Boerenzwaluw
Delichon urbicum,Huiszwaluw
Apus apus,Gierzwaluw
Motacilla alba,Witte Kwikstaart
Motacilla flava,Gele Kwikstaart
Anthus pratensis,Graspieper
Alauda arvensis,Veldleeuwerik
Vanellus vanellus,Kievit
Haematopus ostralegus,Scholekster
Anas platyrhynchos,Wilde Eend
Fulica atra,Meerkoet
Gallinula chloropus,Waterhoen
Ardea cinerea,Blauwe Reiger
Alcedo atthis,IJsvogel
Buteo buteo,Buizerd
Falco tinnunculus,Torenvalk
Strix aluco,Bosuil
Cuculus canorus,Koekoek
Luscinia megarhynchos,Nachtegaal
Turdus philomelos,Zanglijster
Turdus viscivorus,Grote Lijster
Phoenicurus ochruros,Zwarte Roodstaart
Phoenicurus phoenicurus,Gekraagde Roodstaart
Muscicapa striata,Grauwe Vliegenvanger
Ficedula hypoleuca,Bonte Vliegenvanger
Emberiza citrinella,Geelgors
Emberiza schoeniclus,Rietgors
